world_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
172,University of Aberdeen,29.7,91.4,31.4,82.6,43.1,51.0,12938,15.8,33,117.3913043478261
172,University of Auckland,31.4,90.5,39.5,69.8,78.0,51.0,29787,18.9,28,117.3913043478261
174,University of Barcelona,38.5,49.2,37.4,78.9,31.1,50.9,47491,12.2,10,163.1578947368421
175,University of Konstanz,38.5,58.3,46.7,61.9,92.4,50.8,10930,59.1,12,117.3913043478261
176,Eindhoven University of Technology,34.3,71.3,41.0,70.7,57.3,50.6,8176,16.0,14,23.456790123456788
176,University College Dublin,35.0,86.3,38.5,70.8,33.5,50.6,22193,24.5,23,108.33333333333333
178,Hebrew University of Jerusalem,45.8,55.6,41.4,64.6,31.9,50.5,17612,10.7,5,122.22222222222223
179,University of Waterloo,35.4,74.4,43.9,66.5,39.5,50.3,30726,24.2,14,81.81818181818183
180,University of Gothenburg,28.5,58.3,39.8,81.8,30.3,50.2,26420,16.4,12,108.33333333333333
180,Scuola Superiore Sant’Anna,42.5,45.2,23.2,84.5,71.2,50.2,769,8.5,17,53.84615384615385
182,University of Bergen,32.5,70.0,31.5,82.4,36.2,50.1,11623,11.1,12,150.0
182,Cardiff University,30.9,78.1,31.6,82.0,34.6,50.1,23347,13.1,23,132.5581395348837
182,University of Utah,35.6,30.1,35.3,83.7,57.4,50.1,25674,16.9,9,81.81818181818183
185,Brandeis University,28.3,47.0,25.7,97.3,38.6,49.9,5495,12.6,22,122.22222222222223
185,University of Dundee,25.6,78.5,26.9,90.2,49.5,49.9,11628,15.3,25,150.0
185,University of Würzburg,34.6,50.9,35.8,79.1,47.9,49.9,26576,38.4,8,132.5581395348837
188,Paris-Sud University,38.7,64.2,29.0,79.8,28.8,49.8,27603,15.0,17,108.33333333333333
189,Arizona State University,32.4,31.9,38.1,84.6,32.0,49.7,83236,29.9,9,100.0
190,University of Antwerp,31.6,64.8,40.8,71.7,60.3,49.6,12346,30.3,16,127.27272727272727
190,Boston College,34.1,60.0,29.3,83.3,46.8,49.6,13216,17.4,19,117.3913043478261
192,Ulm University,35.2,58.2,23.9,86.4,58.4,49.5,9187,11.2,10,88.67924528301887
193,University of Luxembourg,25.0,99.8,26.7,84.8,38.1,49.4,5144,15.9,52,100.0
193,Texas A&M University,49.4,47.8,52.4,47.1,46.4,49.4,50657,21.4,9,88.67924528301887
195,Charité - Universitätsmedizin Berlin,37.3,61.1,22.2,83.8,68.4,49.3,6853,6.6,16,177.77777777777777
196,Newcastle University,30.9,84.3,27.5,81.5,34.7,49.2,20174,15.2,29,100.0
196,"St George’s, University of London",25.6,69.5,18.1,100.0,37.7,49.2,2958,13.4,17,156.4102564102564
198,University of Trento,30.8,55.9,27.4,87.7,47.1,49.1,16841,43.2,8,104.08163265306123
199,Paris Diderot University – Paris 7,30.5,64.9,22.9,91.0,29.0,48.9,27756,14.8,17,170.27027027027026
200,Queen’s University Belfast,34.1,93.4,33.3,68.9,35.7,48.8,17940,17.9,30,117.3913043478261
